city,state
Port Blair,Andaman and Nicobar Islands
Anantapur,Andhra Pradesh
Chittoor,Andhra Pradesh
Eluru,Andhra Pradesh
Guntur,Andhra Pradesh
Kadapa,Andhra Pradesh
Kakinada,Andhra Pradesh
Kurnool,Andhra Pradesh
Machilipatnam,Andhra Pradesh
Nellore,Andhra Pradesh
Ongole,Andhra Pradesh
Rajahmundry,Andhra Pradesh
Srikakulam,Andhra Pradesh
Tirupati,Andhra Pradesh
Vijayawada,Andhra Pradesh
Visakhapatnam,Andhra Pradesh
Vizianagaram,Andhra Pradesh
Itanagar,Arunachal Pradesh
Naharlagun,Arunachal Pradesh
Pasighat,Arunachal Pradesh
Tawang,Arunachal Pradesh
Ziro,Arunachal Pradesh
Dibrugarh,Assam
Guwahati,Assam
Jorhat,Assam
Nagaon,Assam
Silchar,Assam
Tezpur,Assam
Tinsukia,Assam
Arrah,Bihar
Begusarai,Bihar
Bhagalpur,Bihar
Bihar Sharif,Bihar
Chhapra,Bihar
Darbhanga,Bihar
Gaya,Bihar
Hajipur,Bihar
Katihar,Bihar
Muzaffarpur,Bihar
Patna,Bihar
Purnia,Bihar
Saharsa,Bihar
Samastipur,Bihar
Sasaram,Bihar
Chandigarh,Chandigarh
Ambikapur,Chhattisgarh
Balod,Chhattisgarh
Baloda Bazar,Chhattisgarh
Bemetara,Chhattisgarh
Bhilai,Chhattisgarh
Bijapur,Chhattisgarh
Bilaspur,Chhattisgarh
Champa,Chhattisgarh
Dantewada,Chhattisgarh
Dhamtari,Chhattisgarh
Durg,Chhattisgarh
Gariaband,Chhattisgarh
Gaurela,Chhattisgarh
Jagdalpur,Chhattisgarh
Janjgir,Chhattisgarh
Jashpur,Chhattisgarh
Kanker,Chhattisgarh
Kawardha,Chhattisgarh
Kondagaon,Chhattisgarh
Korba,Chhattisgarh
Mahasamund,Chhattisgarh
Mungeli,Chhattisgarh
Narayanpur,Chhattisgarh
Raigarh,Chhattisgarh
Raipur,Chhattisgarh
Rajnandgaon,Chhattisgarh
Sukma,Chhattisgarh
Surajpur,Chhattisgarh
Surguja,Chhattisgarh
Daman,Dadra and Nagar Haveli and Daman and Diu
Diu,Dadra and Nagar Haveli and Daman and Diu
Silvassa,Dadra and Nagar Haveli and Daman and Diu
Delhi,Delhi
New Delhi,Delhi
Mapusa,Goa
Margao,Goa
Panaji,Goa
Vasco da Gama,Goa
Ahmedabad,Gujarat
Amreli,Gujarat
Anand,Gujarat
Ankleshwar,Gujarat
Bharuch,Gujarat
Bhavnagar,Gujarat
Bhuj,Gujarat
Botad,Gujarat
Dahod,Gujarat
Gandhidham,Gujarat
Gandhinagar,Gujarat
Godhra,Gujarat
Himmatnagar,Gujarat
Jamnagar,Gujarat
Junagadh,Gujarat
Mehsana,Gujarat
Morbi,Gujarat
Nadiad,Gujarat
Navsari,Gujarat
Palanpur,Gujarat
Patan,Gujarat
Porbandar,Gujarat
Rajkot,Gujarat
Surat,Gujarat
Surendranagar,Gujarat
Vadodara,Gujarat
Valsad,Gujarat
Vapi,Gujarat
Veraval,Gujarat
Ambala,Haryana
Faridabad,Haryana
Gurugram,Haryana
Hisar,Haryana
Karnal,Haryana
Panipat,Haryana
Rohtak,Haryana
Sonipat,Haryana
Yamunanagar,Haryana
Dharamshala,Himachal Pradesh
Mandi,Himachal Pradesh
Shimla,Himachal Pradesh
Solan,Himachal Pradesh
Una,Himachal Pradesh
Anantnag,Jammu and Kashmir
Jammu,Jammu and Kashmir
Srinagar,Jammu and Kashmir
Bokaro,Jharkhand
Deoghar,Jharkhand
Dhanbad,Jharkhand
Hazaribagh,Jharkhand
Jamshedpur,Jharkhand
Ranchi,Jharkhand
Ballari,Karnataka
Belagavi,Karnataka
Bengaluru,Karnataka
Bhadravati,Karnataka
Bidar,Karnataka
Chikkamagaluru,Karnataka
Davanagere,Karnataka
Gulbarga,Karnataka
Hassan,Karnataka
Hubballi,Karnataka
Mangaluru,Karnataka
Mysuru,Karnataka
Raichur,Karnataka
Shivamogga,Karnataka
Tumakuru,Karnataka
Udupi,Karnataka
Alappuzha,Kerala
Kannur,Kerala
Kochi,Kerala
Kollam,Kerala
Kottayam,Kerala
Kozhikode,Kerala
Malappuram,Kerala
Palakkad,Kerala
Thiruvananthapuram,Kerala
Thrissur,Kerala
Kargil,Ladakh
Leh,Ladakh
Kavaratti,Lakshadweep
Agar Malwa,Madhya Pradesh
Alirajpur,Madhya Pradesh
Amarpatan,Madhya Pradesh
Anuppur,Madhya Pradesh
Ashoknagar,Madhya Pradesh
Balaghat,Madhya Pradesh
Barwani,Madhya Pradesh
Betul,Madhya Pradesh
Bhind,Madhya Pradesh
Bhopal,Madhya Pradesh
Burhanpur,Madhya Pradesh
Chhatarpur,Madhya Pradesh
Chhindwara,Madhya Pradesh
Churhat,Madhya Pradesh
Damoh,Madhya Pradesh
Datia,Madhya Pradesh
Depalpur,Madhya Pradesh
Dewas,Madhya Pradesh
Dhar,Madhya Pradesh
Dindori,Madhya Pradesh
Guna,Madhya Pradesh
Gwalior,Madhya Pradesh
Harda,Madhya Pradesh
Hatod,Madhya Pradesh
Indore,Madhya Pradesh
Itarsi,Madhya Pradesh
Jabalpur,Madhya Pradesh
Jhabua,Madhya Pradesh
Katni,Madhya Pradesh
Khandwa,Madhya Pradesh
Khargone,Madhya Pradesh
Maihar,Madhya Pradesh
Mandla,Madhya Pradesh
Mandsaur,Madhya Pradesh
Mauganj,Madhya Pradesh
Mhow,Madhya Pradesh
Morena,Madhya Pradesh
Nagda,Madhya Pradesh
Narmadapuram,Madhya Pradesh
Narsinghpur,Madhya Pradesh
Neemuch,Madhya Pradesh
Niwari,Madhya Pradesh
Pandhurna,Madhya Pradesh
Panna,Madhya Pradesh
Pipariya,Madhya Pradesh
Pithampur,Madhya Pradesh
Raisen,Madhya Pradesh
Rajgarh,Madhya Pradesh
Ratlam,Madhya Pradesh
Rau,Madhya Pradesh
Rewa,Madhya Pradesh
Sagar,Madhya Pradesh
Sanawad,Madhya Pradesh
Sanwer,Madhya Pradesh
Satna,Madhya Pradesh
Sehore,Madhya Pradesh
Sendhwa,Madhya Pradesh
Seoni,Madhya Pradesh
Shahdol,Madhya Pradesh
Shajapur,Madhya Pradesh
Sheopur,Madhya Pradesh
Shivpuri,Madhya Pradesh
Sidhi,Madhya Pradesh
Singrauli,Madhya Pradesh
Tikamgarh,Madhya Pradesh
Ujjain,Madhya Pradesh
Umaria,Madhya Pradesh
Vidisha,Madhya Pradesh
Waidhan,Madhya Pradesh
Ahmednagar,Maharashtra
Akola,Maharashtra
Amravati,Maharashtra
Aurangabad,Maharashtra
Beed,Maharashtra
Bhandara,Maharashtra
Buldhana,Maharashtra
Chandrapur,Maharashtra
Dhule,Maharashtra
Gadchiroli,Maharashtra
Gondia,Maharashtra
Hingoli,Maharashtra
Ichalkaranji,Maharashtra
Jalgaon,Maharashtra
Jalna,Maharashtra
Kolhapur,Maharashtra
Latur,Maharashtra
Malegaon,Maharashtra
Mumbai,Maharashtra
Nagpur,Maharashtra
Nanded,Maharashtra
Nandurbar,Maharashtra
Nashik,Maharashtra
Osmanabad,Maharashtra
Palghar,Maharashtra
Panvel,Maharashtra
Parbhani,Maharashtra
Pune,Maharashtra
Raigad,Maharashtra
Ratnagiri,Maharashtra
Sangli,Maharashtra
Satara,Maharashtra
Sindhudurg,Maharashtra
Solapur,Maharashtra
Thane,Maharashtra
Wardha,Maharashtra
Washim,Maharashtra
Yavatmal,Maharashtra
Imphal,Manipur
Shillong,Meghalaya
Tura,Meghalaya
Aizawl,Mizoram
Lunglei,Mizoram
Dimapur,Nagaland
Kohima,Nagaland
Balasore,Odisha
Berhampur,Odisha
Bhubaneswar,Odisha
Cuttack,Odisha
Puri,Odisha
Rourkela,Odisha
Sambalpur,Odisha
Karaikal,Puducherry
Mahe,Puducherry
Puducherry,Puducherry
Yanam,Puducherry
Amritsar,Punjab
Bathinda,Punjab
Jalandhar,Punjab
Ludhiana,Punjab
Mohali,Punjab
Pathankot,Punjab
Patiala,Punjab
Ajmer,Rajasthan
Alwar,Rajasthan
Banswara,Rajasthan
Baran,Rajasthan
Barmer,Rajasthan
Bharatpur,Rajasthan
Bhilwara,Rajasthan
Bikaner,Rajasthan
Bundi,Rajasthan
Chittorgarh,Rajasthan
Churu,Rajasthan
Dausa,Rajasthan
Dholpur,Rajasthan
Dungarpur,Rajasthan
Hanumangarh,Rajasthan
Jaipur,Rajasthan
Jaisalmer,Rajasthan
Jalore,Rajasthan
Jhalawar,Rajasthan
Jhunjhunu,Rajasthan
Jodhpur,Rajasthan
Karauli,Rajasthan
Kota,Rajasthan
Nagaur,Rajasthan
Pali,Rajasthan
Pratapgarh,Rajasthan
Rajsamand,Rajasthan
Sawai Madhopur,Rajasthan
Sikar,Rajasthan
Sirohi,Rajasthan
Sri Ganganagar,Rajasthan
Tonk,Rajasthan
Udaipur,Rajasthan
Gangtok,Sikkim
Namchi,Sikkim
Chennai,Tamil Nadu
Coimbatore,Tamil Nadu
Erode,Tamil Nadu
Madurai,Tamil Nadu
Salem,Tamil Nadu
Thanjavur,Tamil Nadu
Tiruchirappalli,Tamil Nadu
Tirunelveli,Tamil Nadu
Tiruppur,Tamil Nadu
Vellore,Tamil Nadu
Hyderabad,Telangana
Karimnagar,Telangana
Khammam,Telangana
Nizamabad,Telangana
Warangal,Telangana
Agartala,Tripura
Agra,Uttar Pradesh
Aligarh,Uttar Pradesh
Ambedkar Nagar,Uttar Pradesh
Amethi,Uttar Pradesh
Amroha,Uttar Pradesh
Auraiya,Uttar Pradesh
Ayodhya,Uttar Pradesh
Azamgarh,Uttar Pradesh
Baghpat,Uttar Pradesh
Bahraich,Uttar Pradesh
Ballia,Uttar Pradesh
Balrampur,Uttar Pradesh
Banda,Uttar Pradesh
Barabanki,Uttar Pradesh
Bareilly,Uttar Pradesh
Basti,Uttar Pradesh
Bhadohi,Uttar Pradesh
Bijnor,Uttar Pradesh
Budaun,Uttar Pradesh
Bulandshahr,Uttar Pradesh
Chandauli,Uttar Pradesh
Chitrakoot,Uttar Pradesh
Deoria,Uttar Pradesh
Etah,Uttar Pradesh
Etawah,Uttar Pradesh
Farrukhabad,Uttar Pradesh
Fatehpur,Uttar Pradesh
Firozabad,Uttar Pradesh
Gautam Buddha Nagar,Uttar Pradesh
Ghaziabad,Uttar Pradesh
Ghazipur,Uttar Pradesh
Gonda,Uttar Pradesh
